"division_numeric_code","is_in_union","age_range","year","population_count","region_code"
4,"N","15-49",1970,479476.1145,
4,"Y","15-49",1970,2035826.8855,
4,"N","15-49",1971,491083.68,
4,"Y","15-49",1971,2080266.82,
4,"N","15-49",1972,502922.008000001,
4,"Y","15-49",1972,2126119.492,
4,"N","15-49",1973,515479.504,
4,"Y","15-49",1973,2174988.996,
4,"N","15-49",1974,535892.654600001,
4,"Y","15-49",1974,2217080.3454,
4,"N","15-49",1975,556680.256399998,
4,"Y","15-49",1975,2257114.2436,
4,"N","15-49",1976,577155.6038,
4,"Y","15-49",1976,2293112.3962,
4,"N","15-49",1977,597755.971799999,
4,"Y","15-49",1977,2327590.5282,
4,"N","15-49",1978,618585.689,
4,"Y","15-49",1978,2360831.811,
4,"N","15-49",1979,630000.012500001,
4,"Y","15-49",1979,2356914.4875,
4,"N","15-49",1980,616999.614000001,
4,"Y","15-49",1980,2262878.386,
4,"N","15-49",1981,568123.692099998,
4,"Y","15-49",1981,2042356.3079,
4,"N","15-49",1982,532314.985,
4,"Y","15-49",1982,1875211.515,
4,"N","15-49",1983,538639.547600001,
4,"Y","15-49",1983,1860091.9524,
4,"N","15-49",1984,563474.555399998,
4,"Y","15-49",1984,1907643.9446,
4,"N","15-49",1985,588129.704600001,
4,"Y","15-49",1985,1952349.7954,
4,"N","15-49",1986,599059.952799999,
4,"Y","15-49",1986,1950682.5472,
4,"N","15-49",1987,607030.830700001,
4,"Y","15-49",1987,1939985.6693,
4,"N","15-49",1988,622992.724,
4,"Y","15-49",1988,1955561.776,
4,"N","15-49",1989,649765.1314,
4,"Y","15-49",1989,2004968.3686,
4,"N","15-49",1990,666384.493,
4,"Y","15-49",1990,2022960.007,
4,"N","15-49",1991,683590.1958,
4,"Y","15-49",1991,2043138.3042,
4,"N","15-49",1992,747954.027499998,
4,"Y","15-49",1992,2202072.9725,
4,"N","15-49",1993,846933.5989,
4,"Y","15-49",1993,2458104.4011,
4,"N","15-49",1994,924821.7464,
4,"Y","15-49",1994,2648456.7536,
4,"N","15-49",1995,974396.984100001,
4,"Y","15-49",1995,2753799.5159,
4,"N","15-49",1996,1016584.6382,
4,"Y","15-49",1996,2836221.8618,
4,"N","15-49",1997,1057405.9974,
4,"Y","15-49",1997,2914466.0026,
4,"N","15-49",1998,1099670.2486,
4,"Y","15-49",1998,2994893.2514,
4,"N","15-49",1999,1144336.023,
4,"Y","15-49",1999,3078700.477,
4,"N","15-49",2000,1163633.4648,
4,"Y","15-49",2000,3089814.0352,
4,"N","15-49",2001,1182086.1971,
4,"Y","15-49",2001,3089724.3029,
4,"N","15-49",2002,1260135.5058,
4,"Y","15-49",2002,3233044.9942,
4,"N","15-49",2003,1358763.9989,
4,"Y","15-49",2003,3415878.0011,
4,"N","15-49",2004,1431272.8359,
4,"Y","15-49",2004,3520543.1641,
4,"N","15-49",2005,1509041.3924,
4,"Y","15-49",2005,3630575.6076,
4,"N","15-49",2006,1602501.6102,
4,"Y","15-49",2006,3770804.3898,
4,"N","15-49",2007,1668788.7576,
4,"Y","15-49",2007,3836352.7424,
4,"N","15-49",2008,1746391.0064,
4,"Y","15-49",2008,3918149.9936,
4,"N","15-49",2009,1855251.7387,
4,"Y","15-49",2009,4062799.2613,
4,"N","15-49",2010,1956916.1265,
4,"Y","15-49",2010,4186133.8735,
4,"N","15-49",2011,2075215.0756,
4,"Y","15-49",2011,4351355.4244,
4,"N","15-49",2012,2204525.0174,
4,"Y","15-49",2012,4542560.4826,
4,"N","15-49",2013,2323215.6931,
4,"Y","15-49",2013,4715943.8069,
4,"N","15-49",2014,2449733.51309999,
4,"Y","15-49",2014,4909574.9869,
4,"N","15-49",2015,2566962.06950001,
4,"Y","15-49",2015,5088184.4305,
4,"N","15-49",2016,2670763.6355,
4,"Y","15-49",2016,5245582.8645,
4,"N","15-49",2017,2782337.4576,
4,"Y","15-49",2017,5424734.0424,
4,"N","15-49",2018,2896791.49599999,
4,"Y","15-49",2018,5617443.004,
4,"N","15-49",2019,3012352.4403,
4,"Y","15-49",2019,5821543.5597,
4,"N","15-49",2020,3133466.9598,
4,"Y","15-49",2020,6044098.5402,
4,"N","15-49",2021,3230653.4999,
4,"Y","15-49",2021,6226839.0001,
4,"N","15-49",2022,3293589.58569999,
4,"Y","15-49",2022,6353045.4143,
4,"N","15-49",2023,3377281.8804,
4,"Y","15-49",2023,6521236.1196,
4,"N","15-49",2024,3491635.0791,
4,"Y","15-49",2024,6733040.4209,
4,"N","15-49",2025,3609720.29199999,
4,"Y","15-49",2025,6941945.708,
4,"N","15-49",2026,3735087.01680001,
4,"Y","15-49",2026,7151214.9832,
4,"N","15-49",2027,3868048.01629999,
4,"Y","15-49",2027,7360361.9837,
4,"N","15-49",2028,4006712.56209999,
4,"Y","15-49",2028,7567675.9379,
4,"N","15-49",2029,4155026.37970001,
4,"Y","15-49",2029,7785393.1203,
4,"N","15-49",2030,4313520.3427,
4,"Y","15-49",2030,8016186.6573,
4,"N","15-49",2031,4478228.46299999,
4,"Y","15-49",2031,8251053.037,
4,"N","15-49",2032,4647567.2911,
4,"Y","15-49",2032,8483474.2089,
4,"N","15-49",2033,4821874.2422,
4,"Y","15-49",2033,8715181.7578,
4,"N","15-49",2034,4998118.42629999,
4,"Y","15-49",2034,8938504.0737,
4,"N","15-49",2035,5176430.47780001,
4,"Y","15-49",2035,9149726.5222,
4,"N","15-49",2036,5360437.5637,
4,"Y","15-49",2036,9358866.4363,
4,"N","15-49",2037,5551520.13719999,
4,"Y","15-49",2037,9566586.3628,
4,"N","15-49",2038,5749869.55810001,
4,"Y","15-49",2038,9768610.4419,
4,"N","15-49",2039,5958562.9558,
4,"Y","15-49",2039,9972410.5442,
4,"N","15-49",2040,6177638.72939999,
4,"Y","15-49",2040,10181801.2706,
4,"N","15-49",2041,6397417.76909999,
4,"Y","15-49",2041,10379606.2309,
4,"N","15-49",2042,6612233.66849999,
4,"Y","15-49",2042,10552954.3315,
4,"N","15-49",2043,6829341.54590001,
4,"Y","15-49",2043,10715783.9541,
4,"N","15-49",2044,7048782.93329999,
4,"Y","15-49",2044,10872064.5667,
4,"N","15-49",2045,7268452.55830001,
4,"Y","15-49",2045,11015845.4417,
4,"N","15-49",2046,7498314.50210001,
4,"Y","15-49",2046,11158860.9979,
4,"N","15-49",2047,7732790.71219999,
4,"Y","15-49",2047,11294094.2878,
4,"N","15-49",2048,7967808.0257,
4,"Y","15-49",2048,11417412.4743,
4,"N","15-49",2049,8214972.801,
4,"Y","15-49",2049,11542743.699,
4,"N","15-49",2050,8464237.22190001,
4,"Y","15-49",2050,11651186.2781,
8,"N","15-49",1970,167664.2352,
8,"Y","15-49",1970,305185.7648,
8,"N","15-49",1971,174285.9965,
8,"Y","15-49",1971,314178.0035,
8,"N","15-49",1972,181482.5344,
8,"Y","15-49",1972,323405.4656,
8,"N","15-49",1973,189195.8927,
8,"Y","15-49",1973,332969.6073,
8,"N","15-49",1974,197300.1251,
8,"Y","15-49",1974,343128.8749,
8,"N","15-49",1975,205711.3005,
8,"Y","15-49",1975,353917.1995,
8,"N","15-49",1976,214355.155,
8,"Y","15-49",1976,365350.845,
8,"N","15-49",1977,222933.2127,
8,"Y","15-49",1977,377482.7873,
8,"N","15-49",1978,230913.2302,
8,"Y","15-49",1978,390304.2698,
8,"N","15-49",1979,237610.339,
8,"Y","15-49",1979,404083.161,
8,"N","15-49",1980,242839.6568,
8,"Y","15-49",1980,418717.8432,
8,"N","15-49",1981,247108.4013,
8,"Y","15-49",1981,433907.5987,
8,"N","15-49",1982,251293.3815,
8,"Y","15-49",1982,449480.1185,
8,"N","15-49",1983,255797.7446,
8,"Y","15-49",1983,465352.7554,
8,"N","15-49",1984,260225.0418,
8,"Y","15-49",1984,481629.9582,
8,"N","15-49",1985,264258.2517,
8,"Y","15-49",1985,497812.7483,
8,"N","15-49",1986,268119.7208,
8,"Y","15-49",1986,513617.2792,
8,"N","15-49",1987,272170.0136,
8,"Y","15-49",1987,529600.9864,
8,"N","15-49",1988,275280.069600001,
8,"Y","15-49",1988,546117.4304,
8,"N","15-49",1989,275118.018599999,
8,"Y","15-49",1989,559552.9814,
8,"N","15-49",1990,275003.2405,
8,"Y","15-49",1990,564892.2595,
8,"N","15-49",1991,274319.4646,
8,"Y","15-49",1991,567617.5354,
8,"N","15-49",1992,272795.9406,
8,"Y","15-49",1992,569254.0594,
8,"N","15-49",1993,270888.9841,
8,"Y","15-49",1993,570301.0159,
8,"N","15-49",1994,269537.4935,
8,"Y","15-49",1994,571575.0065,
8,"N","15-49",1995,268843.6382,
8,"Y","15-49",1995,572771.8618,
8,"N","15-49",1996,268977.3153,
8,"Y","15-49",1996,572857.1847,
8,"N","15-49",1997,270400.4732,
8,"Y","15-49",1997,571171.5268,
8,"N","15-49",1998,273061.0639,
8,"Y","15-49",1998,567651.9361,
8,"N","15-49",1999,276586.6259,
8,"Y","15-49",1999,562727.8741,
8,"N","15-49",2000,280815.133,
8,"Y","15-49",2000,557103.867,
8,"N","15-49",2001,283851.456499999,
8,"Y","15-49",2001,553364.5435,
8,"N","15-49",2002,284268.5118,
8,"Y","15-49",2002,551926.9882,
8,"N","15-49",2003,283197.4638,
8,"Y","15-49",2003,549876.5362,
8,"N","15-49",2004,281711.1989,
8,"Y","15-49",2004,546062.8011,
8,"N","15-49",2005,280214.1782,
8,"Y","15-49",2005,540398.3218,
8,"N","15-49",2006,278749.3827,
8,"Y","15-49",2006,532944.6173,
8,"N","15-49",2007,277262.065399999,
8,"Y","15-49",2007,523813.9346,
8,"N","15-49",2008,275832.2845,
8,"Y","15-49",2008,513194.7155,
8,"N","15-49",2009,273243.1443,
8,"Y","15-49",2009,502680.8557,
8,"N","15-49",2010,270988.842999999,
8,"Y","15-49",2010,491039.657,
8,"N","15-49",2011,270381.746599999,
8,"Y","15-49",2011,483347.2534,
8,"N","15-49",2012,270376.03,
8,"Y","15-49",2012,480043.47,
8,"N","15-49",2013,268514.4412,
8,"Y","15-49",2013,476808.0588,
8,"N","15-49",2014,265173.409,
8,"Y","15-49",2014,473875.091,
8,"N","15-49",2015,261064.7079,
8,"Y","15-49",2015,471575.2921,
8,"N","15-49",2016,256869.9873,
8,"Y","15-49",2016,471110.5127,
8,"N","15-49",2017,251701.2131,
8,"Y","15-49",2017,471186.7869,
8,"N","15-49",2018,245390.3905,
8,"Y","15-49",2018,470083.6095,
8,"N","15-49",2019,238417.6521,
8,"Y","15-49",2019,467395.3479,
8,"N","15-49",2020,231069.1061,
8,"Y","15-49",2020,464377.3939,
8,"N","15-49",2021,222949.724,
8,"Y","15-49",2021,459908.276,
8,"N","15-49",2022,216057.3942,
8,"Y","15-49",2022,455573.1058,
8,"N","15-49",2023,211435.549,
8,"Y","15-49",2023,452842.451,
8,"N","15-49",2024,206380.0493,
8,"Y","15-49",2024,448700.4507,
8,"N","15-49",2025,201320.285,
8,"Y","15-49",2025,443831.215,
8,"N","15-49",2026,197273.5522,
8,"Y","15-49",2026,438698.9478,
8,"N","15-49",2027,194799.9059,
8,"Y","15-49",2027,433308.5941,
8,"N","15-49",2028,193641.1833,
8,"Y","15-49",2028,427811.8167,
8,"N","15-49",2029,193026.7023,
8,"Y","15-49",2029,422386.7977,
8,"N","15-49",2030,192232.7148,
8,"Y","15-49",2030,416995.7852,
8,"N","15-49",2031,191008.3592,
8,"Y","15-49",2031,411558.6408,
8,"N","15-49",2032,189397.1808,
8,"Y","15-49",2032,406061.8192,
8,"N","15-49",2033,187116.1049,
8,"Y","15-49",2033,400374.3951,
8,"N","15-49",2034,184319.7479,
8,"Y","15-49",2034,394431.2521,
8,"N","15-49",2035,181479.9054,
8,"Y","15-49",2035,388162.0946,
8,"N","15-49",2036,178736.6339,
8,"Y","15-49",2036,381394.8661,
8,"N","15-49",2037,175994.9348,
8,"Y","15-49",2037,374093.5652,
8,"N","15-49",2038,173240.1091,
8,"Y","15-49",2038,366155.3909,
8,"N","15-49",2039,170355.8673,
8,"Y","15-49",2039,357244.6327,
8,"N","15-49",2040,167381.3817,
8,"Y","15-49",2040,347262.1183,
8,"N","15-49",2041,164485.9719,
8,"Y","15-49",2041,336358.5281,
8,"N","15-49",2042,161706.393,
8,"Y","15-49",2042,324854.107,
8,"N","15-49",2043,159072.7093,
8,"Y","15-49",2043,313122.2907,
8,"N","15-49",2044,156522.8735,
8,"Y","15-49",2044,301442.1265,
8,"N","15-49",2045,154006.2194,
8,"Y","15-49",2045,289874.2806,
8,"N","15-49",2046,151555.181,
8,"Y","15-49",2046,278605.319,
8,"N","15-49",2047,149317.4288,
8,"Y","15-49",2047,268203.0712,
8,"N","15-49",2048,147272.51,
8,"Y","15-49",2048,258913.49,
8,"N","15-49",2049,145269.8809,
8,"Y","15-49",2049,250387.6191,
8,"N","15-49",2050,143261.5544,
8,"Y","15-49",2050,242188.4456,
12,"N","15-49",1970,948486.989699998,
12,"Y","15-49",1970,1870911.5103,
12,"N","15-49",1971,983739.677899998,
12,"Y","15-49",1971,1911679.3221,
12,"N","15-49",1972,1019014.4731,
12,"Y","15-49",1972,1956360.0269,
12,"N","15-49",1973,1054453.296,
12,"Y","15-49",1973,2006407.204,
12,"N","15-49",1974,1091520.573,
